"Carimbo de data/hora","Qual a classificação?","Positiva ou Negativa?","Fonte","Autor","Palavras-chave utilizada para busca","Teor textual","Data de publicação"
"2021/09/24 4:46:00 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/  Autor: Alfredo Wagner Berno de Almeida ","","quilombo; quilombola; comunidade","Foram produzidos sob o fogo cerrado de pressões políticas conservadoras,
as quais procuram incessantemente ilegitimar, por meios os mais obtusos, os pleitos
das comunidades quilombolas, recorrendo inclusive a campanhas midiáticas e
evidenciando uma nítida “guerra de posições”, conforme A.Gramsci. Os efeitos
desta guerra tem implicado num certo tangenciamento entre o campo da produção
científica e aquele das disciplinas militantes, chamando a atenção para uma divisão
do trabalho intelectual nos termos propostos por Bourdieu, a partir de dezembro
de 1995, para definir o public intellectual, combinando competência cientifica com
práticas de apoio e em favor das comunidades e dos povos estudados. Numa breve
retrospectiva desta relação de pesquisa, tomada ela mesma como objeto de reflexão,
importa sublinhar que tais práticas têm conhecido transformações no campo da
produção antropológica, transcendendo mesmo às classificações usuais das “histórias
da antropologia” e dos “dicionários de etnólogos”, que privilegiam periodizações
apoiadas em escolas de pensamento (evolucionista, difusionista, funcionalista
britânica, culturalista norte-americana) ou em pensamentos de escola (recusa do
positivismo, relativismo, “direito comparado”). Elas remetem usualmente à descrição
etnográfica dos povos estudados e de seus territórios.","2011-01-01"
"2021/09/24 4:49:35 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/  ","Alfredo Wagner Berno de Almeida ","quilombo; quilombola ","São textos vários - artigos, capítulos de livros, textos escritos para compor
coletâneas, alocuções em audiências, falas solicitadas por movimentos sociais, palestras
e resenhas- que se referem a mais de duas décadas de práticas continuadas
de discussão e de debate, perpassando instituições universitárias, associações científi
cas (Associação Brasileira de Antropologia- ABA, Sociedade Brasileira Para
o Progresso da Ciência-SBPC) e entidades representativas e de apoio a comunidades
quilombolas (Centro de Cultura Negra-MA, Federação das Organizações
Quilombolas de Santarém- FOQS, Movimentos dos Atingidos pela Base Espacial
de Alcântara- MABE, Coordenação Nacional de Articulação das Comunidades
Negras Rurais Quilombolas - CONAQ).","2011-01-01"
"2021/09/24 4:51:37 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; quilombola; comunidade ","Passados quase 23 anos da promulgação da Constituição de outubro de 1988
verifica-se uma tibieza dos sucessivos governos em aplicar o Ar.68 do ADCT. Sucedem-
se os artefatos jurídicos que buscam interditar a aplicação do dispositivo
constitucional, visando procrastinar indefinidamente seus efeitos. Mesmo que, no
momento atual, o poder de quem defere as normas já não pareça tão forte como no
final dos anos 80, constata-se a persistência de polêmicas jurídicas “intermináveis”
(auto-regulamentação, decretos, ações de inconstitucionalidade). Tudo parece gravitar
em torno das normas, como se elas determinassem a dinâmica da vida social
nas comunidades quilombolas.","2011-01-01"
"2021/09/24 4:53:32 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","direitos quilombolas; quilombo","Face aos sucessivos embates, cabe reiterar aos leitores que, na sequência dos
textos, os argumentos em defesa dos direitos das comunidades quilombolas acumulam-
se e as observações sugerem repetidas. Há uma certa redundância, produto
de notas acumuladas, assinalando impressões, coligindo informações e desfiando
comentários. Os argumentos mostram-se por vezes mera repetição ampliada de
formulações anteriores. Mudam os personagens da burocracia, seja na Fundação
Cultural Palmares, seja no INCRA e as velhas idéias, que se supunha enterradas, são
ressuscitadas e tem que se combater outra vez o que já se supunha superado. No caso
dos debates referidos à conceituação de quilombos e à sua titulação definitiva, tem
sido sempre assim. Os contra-argumentos são sempre recolocados como se ditassem
em ondas marmóreas sua continuidade inalterável, tanto em termos jurídicos,
quanto em termos politico-administrativos. Todas as decisões parecem atreladas a
um corpo burocrático de modus-operandi cristalizado, não obstante uma rotatividade
intensa dos agentes administrativos.","2011-01-01"
"2021/09/24 4:55:50 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","comunidade quilombola; quilombo ","Uma leitura crítica destas formulações levou-me a considerar a construção
social de quilombos como um objeto de análise, nos primeiros textos arrolados,
rompendo com esquemas explicativos apoiados em falsas imagens e preceitos dos
dispositivos jurídicos coloniais. Mas não é tudo. Os obstáculos às críticas das classificações usuais de quilombo, nitidamente inspiradas em alvarás e códigos da sociedade
colonial, impuseram uma reflexão epistemológica sobre as condições de
acesso ao conhecimento de uma constelação de agentes sociais designados na documentação
correspondente como: quilombos, mocambos, quilombolas, calhambolas
e mocambeiros. A tais agentes correspondem demandas bem específicas.
Neste plano operativo situam-se as tensões sociais. Verifica-se uma prática oficiosa
de repascer-se em um modus-operandi retrógrado de recusa da titulação definitiva
das terras das comunidades quilombolas, uma prática de dominação intimamente
ligada à ideologia da concentração fundiária como sinônimo de progresso numa
economia agrário-exportadora, apoiada na monocultura, no trabalho escravo e
na concentração fundiária -, procedimento que remete à sociedade colonial, cujos
princípios são vividos inconscientemente pelos aplicadores do direito como de um
império imorredouro.","2011-01-01"
"2021/09/24 4:58:33 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo","No estado atual de conhecimento se percebe os quilombos
menos como conceito, sociologicamente construído, do que através de uma definição jurídico-formal historicamente cristalizada. As fontes secundárias compulsadas,
quer sejam de natureza científica ou historiográfica, quer sejam produzidas
a partir de disciplinas militantes ou de discursos triunfalistas, pare cem se contentar
em enunciar obviedades ou as características reputadas juridicamente como as
mais evidentes. Os próprios textos contestatórios, bem como as narrativas heróicas,
épicas e libertárias, enfatizadas por próceres abolicionistas e seus epígonos de
diferentes matizes, sugerem estar contaminados pelos marcos jurídicos instituídos
no século XVIII e reproduzem acriticamente, no momento atual, seu suposto significado “original”.","2011-01-01"
"2021/09/24 5:00:45 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo","Nesta matéria relativa aos chamados “Códigos Negros”, uma distinção faz-se
necessária: na situação colonial brasileira, ao contrário daquela das colônias francesas
e espanholas, que instituíram “Códigos Negros” para disciplinar procedimentos
punitivos face aos escravos, não há registros de um repertório de leis repressivas
sistematicamente compiladas, cognominado explicitamente de “Código”. Os
mecanismos repressivos, aplicáveis em diversos tipos de atividades, se atualizam
em vários dispositivos, enunciando uma certa dispersão dos instrumentos e uma
diversidade consoante as diferentes províncias do Império do Brasil. De maneira
resumida tal dispersão pode ser assim mapeada: legislação produzida pelas casas reais
(alvarás, ordens régias, regulamentos, consultas, provisões), legislação específica
por colônia, Código Criminal do Império do Brasil, legislação provincial avulsa
e diferenciada, província por província (portarias, decretos, leis) e os regimentos
de instrução de feitores, notadamente aqueles no âmbito da justiça privada, que
conheciam variações de engenho para engenho, de fazenda para fazenda, isto é,
vigentes em cada grande plantação. O Código Criminal, através de seu art.113,
permite distinguir “insurreição de escravos” de quilombo. Há uma única menção
detectada no levantamento de fontes documentais e arquivísticas realizado por
esta pesquisa, que alude ao que poderia ser tomado implicitamente ou de maneira
aproximada como compondo um “Código Negro”. Trata-se de uma passagem da
Consolidação das Leis Civis, compilada em 1859 pelo jurista Teixeira de Freitas.","2011-01-01"
"2021/09/24 5:02:17 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo","Quilombo, enquanto categoria histórica, usufrui de um certo consenso
em termos jurídico-formais. Apoiado num senso-comum douto, seu significado
compreende tanto as disposições legais vigentes no período colonial, quanto as leis
provinciais postas em prática pelas políticas repressivas do período imperial, que
ganham força com o esmagamento das chamadas rebeliões de “autonomia regional”
e “insurreições populares”, tais como a Cabanagem (PA), a Balaiada (MA) e
a Guerra dos Cabanos (PE). Todos os textos de especialistas que foram compulsados,
num vasto elenco que se estende de Perdigão Malheiro, em 1866, a Clóvis
Moura, em 1994, para definir quilombo remontam à resposta do Rei de Portugal à
consulta do Conselho Ultramarino, em 02 de dezembro de 1740. A conceituação
de quilombo tem nesta manifestação jurídica uma referência básica30. As implicações
teóricas e as traduções práticas do conceito envolvem o que estaria “fora”
do sistema escravocrata característico do modelo de plantation (imobilização da
força de trabalho, controle de grandes extensões de terra e sistema de monocultura
agrário-exportador) e o que estaria idealmente além de seus domínios territoriais.
Mais exatamente referem-se à periferia das plantações algodoeiras e açucareiras e a
atividades econômicas consideradas “marginais”.","2011-01-01"
"2021/09/24 5:04:07 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo","Consoante esta norma, os elementos constitutivos da conceituação de quilombo
abrangeriam ações em grupo, que deliberadamente negariam a disciplina
do trabalho, localizadas à margem dos circuitos de mercado. Em outros termos,
tem-se cinco características que sempre aparecem de maneira combina da, segundo
uma inseparabilidade, como se fossem partes integrantes e invariáveis de uma certa
totalidade definitória de quilombo, que podem ser assim resumidas:
a) fuga;
b) quantidade mínima de “fugidos” definida com exatidão;
c) localização marcada por isolamento relativo, isto é, em “parte despovoada”;
d) moradia consolidada ou não;
e) capacidade de consumo traduzida pelos “pilões” ou pela reprodução simples
que explicitaria uma condição de marginal aos circuitos de mercado.","2011-01-01"
"2021/09/24 5:05:25 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/"," Alfredo Wagner Berno de Almeida","quilombola ","Embora aceitando a conceituação, Perdigão Malheiro, ao exemplificar, propicia
um dado de observação empírica que desdiz, em certa medida, os pares de
oposição daquela representação jurídica consagrada. Ele sublinha o fato da busca
da proximidade das praças de mercado como uma regularidade. Isto contraria
a idéia de isolamento, tão reificada, e acentua articulações dos quilombolas com
o abasteci mento das cidades através de complexos circuitos de troca, envolvendo
produtos agrícolas e extrativos, principalmente gêneros alimentícios. A força de
imposição da definição formal, contraditada pelas observações localizadas e diretas,
não parece afetada, entre tanto, por elas.","2011-01-01"
